                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.88853,                 1.2934,                0.59748,                0.96005,                0.91067,                 0.8765,                  0.934,                0.68437,                0.91064,                0.87614,                0.92683,                0.67003,                0.97801,                 1.3658,                0.61777,                   1.04,                0.00101,                0.00101,                0.00101
                     52,                0.87945,                 1.2853,                0.56029,                0.95608,                0.88068,                0.86835,                0.92315,                0.67403,                0.88792,                0.86878,                0.92459,                0.66263,                0.97319,                 1.4021,                0.65609,                 1.0334,              0.0009902,              0.0009902,              0.0009902
                     53,                  0.888,                 1.2719,                0.56384,                0.95268,                0.90583,                0.87051,                0.94196,                0.67793,                0.89412,                0.87881,                  0.935,                0.67639,                0.99649,                 1.3994,                0.62014,                 1.0437,              0.0009704,              0.0009704,              0.0009704
                     54,                0.87875,                 1.2654,                0.55841,                0.95956,                0.88034,                0.86553,                0.92523,                0.68333,                0.88061,                 0.8552,                0.92838,                0.67117,                 0.9555,                 1.3931,                0.61643,                 1.0134,              0.0009506,              0.0009506,              0.0009506
                     55,                0.87523,                 1.2478,                0.55751,                0.95466,                0.90223,                0.86425,                0.93829,                0.68614,                0.91856,                0.87783,                0.93814,                0.66808,                0.95674,                 1.3718,                0.60676,                  1.045,              0.0009308,              0.0009308,              0.0009308
                     56,                0.85712,                 1.2396,                0.54587,                0.94599,                0.89119,                0.88949,                0.93241,                0.69468,                0.88666,                0.88497,                0.93543,                0.67898,                0.95389,                 1.3478,                0.59853,                 1.0244,               0.000911,               0.000911,               0.000911
                     57,                0.83728,                   1.22,                0.53438,                0.94288,                0.90073,                0.90325,                0.94603,                0.68252,                0.90531,                0.90852,                 0.9474,                0.68375,                 1.0149,                  1.361,                0.60497,                 1.0729,              0.0008912,              0.0008912,              0.0008912
                     58,                0.85756,                 1.2136,                0.54359,                0.94534,                0.91541,                0.88139,                0.93712,                0.68722,                0.92464,                 0.8733,                0.93814,                0.67077,                0.98322,                 1.4184,                0.63312,                 1.0512,              0.0008714,              0.0008714,              0.0008714
                     59,                0.85155,                  1.231,                0.53649,                0.94778,                0.93835,                0.88688,                0.94731,                0.69962,                0.93835,                0.88688,                 0.9442,                0.68495,                0.95768,                 1.3767,                0.60427,                 1.0256,              0.0008516,              0.0008516,              0.0008516
                     60,                0.83199,                 1.2064,                0.52634,                0.94489,                0.91531,                0.88026,                0.93973,                0.69119,                0.91531,                0.88026,                0.94033,                 0.6758,                0.97332,                 1.4436,                0.60786,                  1.053,              0.0008318,              0.0008318,              0.0008318
                     61,                0.84022,                 1.2567,                0.53416,                0.95185,                0.91658,                 0.8949,                 0.9424,                0.69441,                0.91658,                 0.8949,                0.94231,                0.68835,                0.97011,                 1.3955,                0.58202,                   1.02,               0.000812,               0.000812,               0.000812
                     62,                0.83328,                   1.23,                0.52486,                0.93916,                0.93748,                0.88198,                0.94218,                0.71171,                0.94229,                0.88651,                0.93996,                 0.7013,                0.91898,                 1.3343,                 0.5772,                 1.0088,              0.0007922,              0.0007922,              0.0007922
                     63,                0.86849,                 1.2511,                0.52849,                0.95093,                0.90438,                0.87783,                0.92948,                0.69357,                 0.8996,                 0.8733,                0.92399,                 0.6673,                0.95344,                 1.4369,                0.59907,                 1.0286,              0.0007724,              0.0007724,              0.0007724
                     64,                0.84511,                 1.2038,                0.52831,                0.95033,                0.90456,                0.86878,                0.92271,                0.68063,                0.90893,                0.86878,                0.92322,                0.66938,                 0.9508,                 1.4252,                0.60485,                  1.039,              0.0007526,              0.0007526,              0.0007526
                     65,                0.82441,                 1.2023,                0.52898,                 0.9366,                0.93137,                0.85966,                 0.9257,                0.68909,                0.93627,                0.86419,                0.92329,                0.67196,                0.96837,                 1.4155,                0.57632,                 1.0407,              0.0007328,              0.0007328,              0.0007328
                     66,                0.79862,                 1.1938,                0.51167,                 0.9331,                0.91408,                0.86653,                0.91681,                 0.6904,                0.92362,                0.87542,                0.92578,                0.68092,                0.92347,                 1.3927,                0.57273,                  1.014,               0.000713,               0.000713,               0.000713
                     67,                0.81378,                 1.2149,                0.50512,                0.92635,                0.93229,                 0.8733,                0.94097,                0.70932,                0.94113,                0.87783,                0.93732,                0.68754,                0.94898,                 1.4352,                0.56339,                 1.0318,              0.0006932,              0.0006932,              0.0006932
                     68,                0.80587,                 1.1715,                 0.5139,                0.91784,                0.90191,                0.87783,                0.92521,                0.69838,                0.92892,                0.84615,                0.91713,                0.66795,                 0.9414,                 1.4413,                0.58575,                 1.0184,              0.0006734,              0.0006734,              0.0006734
                     69,                0.78456,                 1.1615,                0.49086,                0.92663,                 0.9191,                0.87396,                0.93984,                 0.7133,                0.91434,                0.86944,                0.93552,                0.68799,                0.90256,                 1.4091,                 0.5608,                  1.001,              0.0006536,              0.0006536,              0.0006536
                     70,                0.79134,                 1.1456,                0.49006,                0.93171,                0.89073,                 0.8733,                0.92825,                0.69883,                0.85374,                0.89805,                0.91612,                0.67639,                0.90196,                  1.453,                0.58111,                0.99119,              0.0006338,              0.0006338,              0.0006338
                     71,                0.77206,                 1.1437,                0.48167,                0.92144,                0.92203,                0.85609,                0.93205,                0.69965,                0.93177,                0.86514,                0.93127,                 0.6777,                0.93287,                 1.3913,                0.56473,                 1.0183,               0.000614,               0.000614,               0.000614
                     72,                0.78337,                 1.1631,                0.49421,                0.92801,                0.93208,                 0.8371,                0.92241,                0.69316,                0.93712,                0.84163,                0.92916,                0.67879,                0.93516,                 1.3856,                0.59149,                 1.0098,              0.0005942,              0.0005942,              0.0005942
                     73,                0.74599,                    1.1,                0.46647,                0.91588,                0.92355,                0.87459,                0.94885,                0.68594,                0.94277,                0.85068,                0.94114,                0.68177,                0.96713,                 1.3598,                0.58224,                 1.0262,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.7852,                 1.1565,                0.47782,                0.92149,                0.92819,                0.87783,                0.94105,                0.70058,                0.92332,                0.87172,                0.94157,                0.68733,                0.94979,                 1.3811,                0.59598,                  1.012,              0.0005546,              0.0005546,              0.0005546
                     75,                0.74829,                 1.1148,                0.46851,                0.90939,                0.93129,                0.88235,                 0.9328,                0.70545,                0.93295,                0.88151,                0.92944,                0.69729,                0.94137,                 1.3805,                0.60241,                 1.0257,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.7504,                 1.1226,                0.46605,                0.90994,                0.89916,                 0.8876,                0.93415,                0.69774,                0.89916,                 0.8876,                0.93185,                 0.6876,                 0.9277,                 1.3834,                0.56905,                 1.0092,               0.000515,               0.000515,               0.000515
